电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
《长城长》第一季,59000,295,853,129,387,真人秀,暂无评分,评分人数不足,连载中,1,3,简介：内蒙古卫视大型文化综艺季播节目《长城长》，特邀郦波、蒙曼、张玉坤、王纪言、祝勇、董耀会、杭侃等专家担任“文化解读官”，节目以闯关答题和文化解析的方式讲述长城故事，来自全国的56位“好汉”比手速、拼知识，最终冠军将获得中国15省区市21196.18公里长城深度游大奖。,
快乐站你这边,183000,1765,686,2065,11000,真人秀音乐,暂无评分,评分人数不足,已完结, 全1集,0,5,简介：以Joyside乐队成员为主人公的微型慢综艺。通过厨艺展示、聚餐、互动小游戏、不插电表演，体现出乐队成员之间浓浓的情谊，给观众展示Joyside乐队舞台下更具幽默感、平易近人的另一面。也为即将到来的农历新年带来满满的年味。这也是中国第一部乐队自制的团综。,
一百样东西 ,251000,1791,13000,1002,5834,喜剧,9.5,214,102,0,62,简介：安东尼和保罗是从小玩到大的青梅竹马，两人共同经历了太多的事情，彼此之间的友谊坚不可破。成年之后，他们一起创办了一家公司，这一天，公司觅得了一名非常慷慨的投资人，为了庆祝这件事情，公司里开设了一场盛大的派对，在派对上，玩的兴起的安东尼和保罗决定打一个赌，赌注是公司百分之五十的股份。安东尼和保罗交出了身上所有的东西，两人回归到身无分文的状态，然后每一天，他们都可以在他们所拥有的东西里拿回一件，如此往复，看谁能够撑更长的时间，先放弃的人就是输家。,
2022川渝春节联欢晚会,306000,799,1189,672,3664,晚会,暂无评分,评分人数不足,已完结，共1集,0,5,简介：为响应国家战略部署，积极参与、推动成渝经济圈发展，四川卫视、重庆卫视联袂打造《2022川渝春节联欢晚会》，唱好双城记，助推双城经济圈发展。最终以双城经济圈建设的新业绩新气象共同庆祝建党100周年，体现“川渝一家亲，欢乐幸福年”的春节氛围。,
野林,17000,37,575,26,151,剧情短片,暂无评分,评分人数不足,14,0,1,简介：在一片荒郊野外的树林里，两个男孩嬉戏打闹。当他们被一个奇怪的红衣女人吸引，跟踪来到她居住的帐篷，并且拿走她的东西后，事情开始变得复杂起来。两个男孩被红衣女人穷追不舍，而他们心中的恶念也不知不觉开始蔓延。,
堀与宫村,1714000,10000,36000,2335,22000,剧情漫画改,4.7,900,97,0,375,简介：在班里总是一个人待着、土气的宫村伊澄，和性格开朗，在班里也很有人气的优等生堀京子，虽然是截然相反的两个人，但他们各自都有不为人知的秘密。由于意外的事件两人成为彼此的秘密共有者，慢慢地缩短了距离。对他人不感兴趣，没有朋友的宫村的高中生活，以与堀的相遇为契机开始染上色彩。,
盛会,15248000,35000,240000,67000,193000,人文社会运动,9.9,2868,已完结, 全2集,8,597,简介：《盛会》将从一个独特的幕后视角出发，展现北京2022年冬奥会开幕式演出的创作过程。这部2集的纪录片讲述了中国导演张艺谋和他精心挑选的团队历时三年的设计和制作过程。在这场全球疫情中，他们争分夺秒地制作出一系列令人印象深刻的表演。从奥运五环的设计和创造，到奥运火炬的展示，甚至再到艺术家蔡国强的烟花表演测试场地，该系列节目为观众提供了一个珍贵的内幕视角，欣赏这一全球盛事以及使其成为可能的尖端技术。在北京的标志性建筑“鸟巢”国家体育场和中国各地的秘密测试场地中，开幕式的故事将由参与该项目的关键人物讲述，并围绕张艺...,
盗火线 ,227000,5952,17000,1903,8148,剧情动作犯罪惊悚,9.8,508,170,3,98,简介：文森特•汉纳是洛杉矶警局重案组的探长，工作积极投入，打击犯罪毫不手软，因此，家庭生活危机重重，目前的第三次婚姻也面临解体；尼尔•麦考利是职业匪徒，混迹江湖多年，做事干净利落，而且心狠手辣，不留后患，组织手下成功抢劫运钞车的案子，使他受到了警方的“特别关注”。一个偶然的机会，尼尔认识了平面设计师伊迪，两人一见钟情，再看到手下都有安定的家庭生活，尼尔也想把握自己的幸福，遂萌生退意。然而，在最后一次抢劫银行的行动中，因为叛徒的出卖，手下一死一伤，本已逃出的尼尔，带着伊迪在去机场的路上，得知了叛徒的消息，他...,
珍妮花,106000,66,6958,107,1092,剧情短片,暂无评分,评分人数不足,23,0,1,简介：Jenny是一名混血儿，从小在中国的南方长大。大学刚毕业的她无所事事，百无聊赖，远在故乡的姑妈想让她回去一趟，Jenny迟迟没有做出决定。直到最近，她一直梦见自己身处丛林之中，那种感觉熟悉而又陌生，就像在她的故乡。,
打出众,298000,87,1680,693,5751,运动,暂无评分,评分人数不足,已完结，共1集,0,8,简介：《打出众》通过感人至深的人文故事展现队员们场上场下的酸甜苦辣，为中国三人篮球运动乃至所有体育人团结拼搏的精神面貌留下珍贵记录，展现出他们不畏困难、奋勇拼搏的竞技精神。,
太空边缘的使命,17000,27,475,29,948,宇宙运动,暂无评分,评分人数不足,已完结，共1集,0,0,简介：2012年10月14日，菲利克斯·鲍加特纳从太空边缘以每小时843.6英里的速度跳进地球，成为了世界上第一个突破音障的人类。这一壮举同时打破了包括从127,852.4英尺的高空自由落体等其他几个记录。这部周年纪念纪录片将以未在全球直播中展示的画面再次吸引观众。,
盐的奥秘,347000,141,3342,160,1612,科技,暂无评分,评分人数不足,已完结，共1集,0,2,简介：《盐的奥秘》是一部长达一小时的关于我们最基本元素之一——“盐”的调查。本片运用了创造性和时尚的视觉模拟，将这门科学带入了现实。人们可能会认为，我们对盐的理解是清晰的，但盐却藏有许多奥秘。我们将加入科学家、学者、盐农、厨师的行列，在实验室、厨房、盐厂等地，探索这门新科学。,
天井里的年,35000,69,17000,109,3111,剧情短片,暂无评分,评分人数不足,20,0,4,简介：影片根据真实故事改编，讲述了2019年年底，一对新人在湖北办了酒席之后，然后回山东老家办酒席。结果就在婚宴的当天，武汉爆发的疫情被证明有人传人现象。于是一家人很快被隔离在家中。由于牵扯的人太多了，一家人的压力都特别大。甚至，有一天新婚妻子，把村里送来的84消毒液没有兑水就洒在屋子里，造成大家咳嗽，引发一阵恐慌。除夕那天，一家人为了要不要打电话，向警察汇报办酒席的事情而争执不下……,
家在时光深处,42000,69,17000,133,3046,科幻剧情短片,暂无评分,评分人数不足,13,0,9,简介：城市面临巨型陨石袭击，物理学教授丁忆却伫立在楼顶，微笑着迎接灭顶之灾的到来。面对着焦急地想拉自己去避难的学生小李，丁教授讲述了一段关于家园的往事……,
朱妮托尼儿歌,1077000,41,15000,599,5015,少儿,暂无评分,评分人数不足,连载中,0,5,简介：有趣的节奏可以让孩子们开开心心地成长，《朱妮托尼儿歌》让孩子们在最新的节奏里面用最轻松的方式认识世界的美好，听儿歌、唱儿歌、跳跳舞，轻松掌握生活中的好习惯、颜色、形状、大小，认识自然中的动物、天气以及它们的生活和变化，了解自己、表达自己的同时促进孩子们情绪、认知发展，锻炼孩子们肢体协调能力。,
在京都小住 ,526000,4075,48000,2081,9356,剧情家庭,9.4,318,73,1,91,简介：在东京生活的江东佳奈为了照顾受伤的舅公只身来到了京都。在京都生活多年的舅公大贺茂给了外甥女一份自己精心手绘的地图方便她在京都出行。这幅地图记录了一个对父辈而言韵味十足，对年轻人而言新奇特别的京都。谈笑风生，闲情漫步，只有小住片刻才能感受到京都深处的风情。在不同的地方遇到不同的人，佳奈在舅公手绘地图的指引下，渐渐放下心中防备，融入京都。,
春雨过境,55000,114,6866,491,1653,剧情短片,暂无评分,评分人数不足,26,0,3,简介：三月广州是新春雨季，时有回南天裹挟风雨的潮湿粘腻。罗家婚礼前夕，父子姐弟屋檐关系下彼此角力鼓励。接亲前夜，天光曦，风吹雨弥漫在广州城市上空，一家人家中准备，三人各怀心事彼此面对。,
塑料方舟,76000,186,17000,96,3262,剧情短片,暂无评分,评分人数不足,14,0,9,简介：5年级2班转学来了新同学，男孩子，叫王文成。这王文成少言寡语，有点迂，别人上自然课的时候偷偷做数学作业，他却听得特别认真，还主动举手提问。大家都不喜欢他，觉得他举止怪异：自来水龙头必须拧紧，一滴水也不漏；放学捡垃圾；特别爱闻路上的汽车尾气。这天，有同学在水房洗漱时，王文成手欠，非要替人家把水龙头关上……,
丝路筑梦 和美与共 2022丝路嘉年华暨丝路春晚,192000,798,1561,1025,1882,晚会,暂无评分,评分人数不足,已完结，共1集,0,27,简介：立足中国文化输出，兼并世界文化共性，强力推出一台以丝路为主题的春节晚会。整台晚会紧紧围绕丝路内涵，深刻解读丝路精神，以五星出东方的千年谶言到五星照耀中国的盛世圆梦，和美大爱，繁荣与共，打造丝绸之路经济带，着色21世纪海上丝绸之路，如一道光华，闪耀在五洲，彼此连接的广阔大道，晚会共分五个单元，每一个单元都能独立成章，也能相互关联，都以独特的视角解读不同的主题，每一个节目既有时光、生命、和平、共存、共生的不同属性，也有唯美、热烈、浪漫、科技、惊艳的独特气质，有精心挑选的国际国内精品，也有潜心打造的破圈节目...,
二围马,41000,179,17000,103,3175,剧情短片,暂无评分,评分人数不足,26,0,8,简介：立志要成为互联网大鳄的刘勇，做过几款歪门邪道的App, 接二连三失败不仅备受打击，还欠了一大堆钱。走投无路的他决定回老家躲债，盘算着如何东山再起。有天外出买烟偶遇红毛，两人多年没见一顿酒下来，神吹了很多想法。在外地做夜场的红毛最近也无所事事，一听勇哥有赚钱的机会，当下决定和勇哥一起干番“大事”，于是刘勇带着红毛从二维码开始走向“重新积累资本“的道路。与此同时红毛在某直播间认识了一个叫夏天的女主播，被姑娘深深打动，并把通过二维码盗来的钱都打赏给了她。小镇的”赚钱业务”渐渐无法满足刘勇的”野心“，在他的怂恿下...,
78初恋,47000,136,17000,111,3071,剧情短片,暂无评分,评分人数不足,18,0,4,简介：南方破败小镇的养老院里住着一群被“抛弃”的老人。阿贵今年78，从没上过学，也没娶过老婆。在养老院这个“家园”里也有鄙视链——养老院里组织春节互相送小手工的活动，“人气老头”络绎不绝有老太太来送礼物，可阿贵等到了天黑，也没有得到任何一个人的礼物， 最终和“人气老头”大打出手。大年30的晚上，养老院来了辆救护车，阿贵喝了农药，阿贵不想再孤独地活在这世上。阿贵被救起以后，却突然走了桃花运，手机上有个叫“佩兰”的老太太加了他...,
环游地球八十天,2718000,15000,57000,3952,23000,喜剧动作冒险,9.4,1141,120,0,198,简介：19世纪后半期，科技发展持续推动着工业的进步。在伦敦，醉心发明的科学家福格经常进行疯狂的运输工具实验，尽管，他得不到皇家科学院的认可，只是一名业余爱好者，仆人也因过于危险的实验离他而去。来自中国的刘星为取回家乡的宝物“玉佛像”，打劫了英格兰银行。招来了英国警方与中国犯罪组织黑蝎集团的无休无止追捕，无奈之下只得化名“路路通”担任福格的仆人。福格为取代古板不堪的科学院院长，赌上全部家当与前途，要在80天内环游世界。而路路通认为可借这次旅行将佛像送回家乡。两人出发后在巴黎遇见痴迷印象派的业余女画家罗切要求同行...,
波西米亚狂想曲 ,4229000,25000,197000,39000,73000,剧情传记,9.8,6274,135,7,1413,简介：弗雷迪·莫库里曾是希思罗机场的一名普通搬运工，对音乐满腔热血的他，与布莱恩·梅、罗杰·泰勒、约翰·迪肯组成皇后乐队。这个殿堂级乐队的从无到有，从疏离到重聚，从低谷到巅峰，仿佛就是弗雷迪一生的缩影。在最后的日子里，弗雷迪做了生命中最重要的决定——在音乐史上最伟大的“拯救生命”大型摇滚乐演唱会上，将所有热血付诸于歌声。,
了不起的狐狸爸爸 ,865000,3976,57000,3759,17000,喜剧动画冒险,9.7,676,97,3,170,简介：本片根据挪威藉英国儿童文学作家罗尔德·达尔（RoaldDahl）的同名儿童故事改编。狐狸爸爸和狐狸太太在乳鸽场偷窃时得知狐狸太太怀孕，狐狸爸爸承诺二人脱逃后不再行窃。两年后，狐狸爸爸不顾獾律师的反对，执意购入了位于养鸡场、火腿商和苹果酒三农场主地界上的树屋。一心想成为运动员的狐狸儿子艾什对新搬来暂住的表兄克里斯托弗森又妒又恨；而狐狸爸爸则再次按奈不住，联合树屋管理员负鼠凯利秘密对三农场主再行偷窃，直到引来一场人...,
决胜21点,371000,1179,11000,341,6021,剧情犯罪,暂无评分,评分人数不足,123,0,19,简介：BenCampbell（吉姆·斯特加斯JimSturgess饰）有着惊人的才华，身为麻省理工高材生的他学业无懈可击，他亦毫无意外地赢得了哈佛医学院的录取通知书。然而30万的高昂学费和生活费令他的大学梦摇摇欲坠。在争取奖学金的面试中，教授对他说胜出者必须要有过人的经历而不是像本这种一张白纸的学生。Ben在一服装店打工，挣取每小时8美元的薪酬。同时和两个好友准备竞赛2.09以期获得认同和奖金。数学课上本的天才头脑被教授MickeyRosa（凯文·史派西KevinSpacey饰）发现，Mickey希望本加入自己的21算法团队，专门去赌场依靠算牌赢得大钱。Ben并不同意，但B...,
椿,66000,23,3037,89,674,剧情爱情短片,暂无评分,评分人数不足,23,0,3,简介：疫情期间，女孩莎拉回到重庆外婆家。莎拉每天沉浸在与前男友的过去中，无法忘怀。与此同时，莎拉发现了外婆的秘密，她偷偷迷恋着一个中年网红，这两场爱情幻梦最终如何收尾 …,
举目凝望,6366,13,212,30,56,剧情短片,暂无评分,评分人数不足,28,0,0,简介：讲述的是一个少年不断与自己做抗争不断奋斗找到自己梦想的故事，在这个过程中他从为了他人而打乒乓球，变为为了实现自己的价值找到真正追逐梦想的乐趣而投身入运动中。,
小树和她的影子,24000,60,1415,81,347,剧情短片,暂无评分,评分人数不足,25,0,6,简介：高二女生李希然意外得到一只可以穿越的笔，于是开始不断穿越来弥补自身的很多缺点，并和喜欢的男生关系越来越近。殊不知，她每次穿越把男生也一起带到了过去。他们通过逐渐了解对方，更加坚定了自己。,
姐姐·弟弟,11000,9,173,16,64,剧情短片,暂无评分,评分人数不足,11,0,0,简介：姐姐吴思瑶和奶奶生活在农村，弟弟吴坤鸿跟着在广州外出务工的父母生活。为了托关系让姐姐上一个好的初中，母亲请假带着弟弟回来。一年才能见到一次面的姐姐和弟弟弟之间发生了有趣的事情……,
捉鬼敢死队,424000,1737,26000,467,7598,喜剧科幻奇幻,8.5,132,105,0,30,简介：三名大学教授彼得·温克曼、雷蒙德·斯坦兹和艾根·斯宾格勒专门研究鬼怪灵异之事。他们决定离开校园实验室，组成“捉鬼大队”。他们用最新的科学仪器，对付在纽约市出没的无数大鬼小鬼，取得成功。可政府部门却将他们视为江湖骗术。直到有一天，一群邪恶的魔鬼包围了整座纽约市，并附身于美女德纳身上时，众人终于意识到了事态的严重。这只“捉鬼大队”是否能够拯救纽约，让魔鬼无所遁形呢？,
龙纹身的女孩 ,219000,4865,15000,844,6863,剧情犯罪惊悚悬疑,9.6,266,158,1,48,简介：《千禧年》杂志的财经记者米克尔·布隆克维斯特正被一桩报导引起的诽谤诉讼案搞得焦头烂额之际，却意外接到了瑞典顶尖家族企业范耶尔工业集团的创始人亨利·范耶尔的邀请。表面上米克尔要为对方写传记，实则是帮迪奇调查一桩40年前发生在家族里的悬而未决的杀人案。米克尔认真梳理堆积如山的资料，与家族成员交流攀谈。却在关键时刻，被一个边缘女孩莉丝贝丝·沙兰德入侵电脑盗取了资料。他找到同要具有非凡调查能力的莉丝，邀请她一同调查，却发现面前是一个深不见底的欲望黑洞……本片根据瑞典小说家斯蒂格·拉尔松的原著改编。,
咒怨,1904000,30000,64000,2388,20000,恐怖悬疑,8.1,437,92,0,161,简介：到日本修读的美国交换生嘉云（莎拉·米歇尔·盖拉饰），到位于东京近郊的一所房子里，照顾一个患精神病的老太太艾玛。盛怒死者的怨气积聚在屋内久久无法散去，这道诅咒仿佛成为传染病般，收到的她的人一个接一个死去......,
深红累之渊,762000,3855,39000,2016,11000,剧情悬疑奇幻,9.5,395,111,3,127,简介：著名话剧演员渊透世（檀丽饰）去世前，将一支口红交到女儿小累的手中。这支口红是她和女儿一生幸福与痛苦的源头。长大以后，脸上留着恐怖疤痕的渊累（芳根京子饰）见到了曾为母亲担任经纪人的羽生田（浅野忠信饰）。羽生田带着唯唯诺诺的女孩来到剧场，观看了美丽的女孩丹泽妮娜（土屋太凤饰）的表演。高傲的妮娜怎么也想不到，丑陋的累竟然可以用那支口红和她交换容颜。原来妮娜身体不佳，且演技进入瓶颈，所以羽生田提出让有着蓬勃表演欲望的小累担任妮娜的替身。在此之后，顶着美丽容颜的小累在舞台上飞速成长，而妮娜隐隐感觉到自己有将被...,
孔子之道,177000,66,6928,364,1482,少儿历史古风,暂无评分,评分人数不足,已完结, 全26话,0,12,简介：《孔子之道》是一部向21世纪的年轻观众普及和传播孔子思想的动画作品，作品不是孔子作为一位思想家、教育家、哲学家的写实生平记录，而是跳脱了孔子的生卒年代的时间局限，以建立在史料基础之上的生动活泼的小故事形式，让孔子引领观众穿越于不同时代、不同国家，见证不同的历史故事，表现孔子思想体系中的诸多理论，包括责任问题、亲情问题、教育问题等等。,
比得兔,1085000,1545,110000,524,8802,喜剧动画冒险,7.1,173,94,0,55,简介：远离伦敦的英国乡村，比得兔和家人以及朋友们过着快乐的生活，当然除了那个侵占了他自由土地并杀害他父亲的邻居麦格雷戈先生。每天，比得兔都要闯入麦格雷戈的院子偷吃水果蔬菜，顺带和这个顽固凶残的老家伙对决一番。可就在某天，麦格雷戈意外身亡。快乐的兔子们带着郊外的野生动物闯入没有住人的房子大吃八喝，好不自在。然而好景不长，麦格雷戈的侄子托马斯——一个在伦敦闯荡的精英——刚刚丢了工作，偏巧继承了这幢位于乡下的房子。托马斯来到乡下，毫不留情将野生动物们赶了出去，而比得兔他们一刻也不忘要夺回属于自己的土地……,
洛杉矶之战,866000,3050,13000,502,11000,动作科幻,6.5,323,116,1,92,简介：2011年夏天，无数枚陨石坠落地球，竟导致12个国家的沿海城市系数毁灭。原来陨石实则有一群神秘的外星人操纵。外星人凭借陨石着陆地球，展开残酷无情的屠杀和破坏。作为世界上的头号超级大国，美国自然也无法避免这场灾难，随着入侵者的则多，美国只有西太平洋的洛杉矶暂未沦陷。海军陆战队中士麦克·纳兹受命编入威廉姆·马丁内斯中尉的小分队，准备与外星人展开殊死搏杀。适值此时，外星入侵者成功登陆，并杀入人口稠密的圣莫尼卡区。军方决定诱敌深入，再对敌人施以空中打击。为了营救无辜，纳兹和马丁内斯的小分队义无反顾冲了进去……,
2012,1653000,28000,53000,5080,26000,科幻灾难,9.3,1355,158,8,311,简介：太阳活动异常，地球内部的能量平衡系统面临崩溃，玛雅人的预言即将实现，人类将遭遇灭顶之灾。各国政府已经联手开始秘密制造方舟，希望能躲过这一浩劫。以写科幻小说谋生的杰克逊在带孩子们到黄石公园渡周末时发生一连串怪事，而且遇到了神经兮兮的查理，查理告诉他世界末日即将来临。伴随着火山爆发，强烈地震以及海啸，杰克逊带领自己的家人驾驶一架临时租来的飞机冲出被死神阴霾瞬间笼罩的城市上空...,
洛奇,587000,7434,54000,5080,14000,剧情爱情,9.8,788,120,1,193,简介：洛基•巴尔博厄是费城的过气拳击手。他空有拳击热忱，却只混杂于三流拳击赛中。一天，他对售货员艾黛丽安一见倾心。爱情得意，事业也开始一路畅通。为了庆祝美国建国200周年，当地举办了一个拳击比赛，胜出者将获得15万美元的高额奖金。美国一个拳击巨星在比赛中受了伤，主办方选中了洛奇去上演一场“灰姑娘”式的比赛，大敌当前的同时，也是洛奇事业转机、大显身手的良机。洛奇在赛场上苦撑15回合，在面肿血流之际，会不会有奇迹的发生？,
洛奇3,196000,3593,54000,1174,5395,剧情动作,9.8,224,99,0,48,简介：在第二次击败宿敌——黑人拳王阿波罗·克里德后，当初贫民窟出身的穷小子洛奇逐渐走上事业的顶峰。他先后十次卫冕，创造了重量级拳王的不败神话，受到来此各界的疯狂追捧。原本打算引退的洛奇受到了黑人拳击手克鲁伯的挑战，他不顾经纪人米基的阻拦，决然走入擂台，却遭遇了生涯中久违的惨败。,
水俣病 ,649000,3883,37000,2372,14000,剧情,9.5,401,110,4,108,简介：约翰尼·德普主演惊悚片，饰演史上最著名的摄影记者之一尤金·史密斯。影片由AndrewLevitas(《摇篮曲》)执导，讲述因二战时期作品而知名的摄影师史密斯在1971年本已隐居，但受Life杂志编辑RalphGraves委托，他再次拿起相机，去日本记录因汞污染引起的震惊全球的怪病“水俣病”现状，和政府所做的掩盖。当时该事件已进入确定责任阶段，受害者与企业谈判中。,
史密斯夫妇,3440000,37000,158000,13000,51000,喜剧爱情动作,9.6,2842,125,2,460,简介：约翰和简已经结婚了7年多，生活就像淡水般无味。婚姻就像坟墓，让他们过着死水一潭的生活。然而这仅仅是表象。背后他们各有刺激惊险的职业——约翰和简分属两个不同的秘密杀手机构，但彼此却不知道对方的职业身份。直到他们同时接到一个任务，刺杀目标竟是同一人。身份的真相才开始慢慢揭开。反复的试探和猜测，简终于不小心说穿了自己身份。于是一场同室操戈不可避免的发生了。但是他们也开始意识到，自己只是组织的一个棋子。而眼前的，是共同生活了7年的爱人。,
犬屋敷 真人版,1845000,29000,78000,4909,26000,动作科幻,7.5,1130,126,10,280,简介：平凡无奇、将近60岁的普通上班族‧犬屋敷，在家里不受家人尊敬，也找不到自己活著的目标，还被医生宣告将不久於人世。失意的他，却在公园与另一名少年被突如其来的外星生物砸到，整个身体都被摧毁了。不明的外星生物为了不影响地球的秩序，让犬屋敷和少年重生──他们变成只有外表是人、身体却由机械所构成，拥有卓绝战斗能力的超强「人类」。,
金蝉脱壳,1272000,14000,62000,3672,24000,动作惊悚,9.4,894,116,1,142,简介：孔武冷峻的雷·布雷斯林经过周密计划，成功从戒备甚严的监狱中逃脱。他隶属于独立的BC安保公司，该公司受联邦监狱局之托测试国家各地监狱的安全性，通过布雷斯林这些越狱高手查找监狱的漏洞，以确保不会有犯人从牢笼中逃脱。在过去八年里，雷已成功征服14座监狱。这一次，中情局为验证关押了罪大恶极恐怖分子的设施的安全，委托正准备退休的雷进入神秘莫测的国际监禁中心...,
洛奇2,292000,4953,54000,1647,7407,剧情,9.7,269,119,1,50,简介：洛奇·巴尔博亚在第十五回合败给世界冠军拳王阿波罗·奎迪，赛后，他很快花光了比赛赢得的奖金。为了养家糊口，他尝试了很多的工作，均未成功。他再三考虑，决定做回本行，重新开始他的拳击生涯。阿波罗对于上次的失败也非常介怀，他多次给洛奇制造麻烦，逼迫他重出江湖。虽然太太反对，但洛奇仍然紧锣密鼓，开始做好比赛的准备，他的决心终于得到亲人的支持。,
剑心之路,1457000,3606,776000,3911,20000,人文,9.7,260,已完结, 全3集,0,76,简介：记录佐藤健10年间的轨迹！幕后纪录片《剑心之路》独家上线！《浪客剑心》系列电影终于在2011年8月2日第一部开机的十年后，这一值得纪念的时刻迎来完结！为纪念电影《浪客剑心 最终章 人诛篇/追忆篇》公映，将独家推出幕后纪录片《剑心之路》，追踪主演佐藤健十年间的酣战岁月！本片将通过珍贵的幕后影像，回顾佐藤健的心路历程，看他如何演绎刽子手拔刀斋与守护者绯村剑心的一体两面。,
年画·画年 第2季,1473000,3241,57000,3072,39000,人文社会历史,9.8,123,已完结, 全7集,1,45,简介：《年画·画年》（第二季），共7集*30分钟，将延续第一季的轻松表达，努力在“喜闻乐见 更接地气”上下功夫，用更新奇有趣的方式，用更充满情感的表达，讲述年画独特的魅力和穿越时代的意义。,
曾经,170000,1493,21000,2280,8145,剧情爱情,9.6,367,86,2,96,简介：这是一部由音乐开启的爱尔兰电影。卖花女被街头艺人的音乐所吸引，开始了一段荡气回肠的浪漫故事。他们不是王子和公主，各自有着琐碎的生活，但是他们有个共同点，那就是对音乐的热爱。在一次合奏中，他们找到了彼此间惊人的默契。这个发现让他们兴奋，很快他们找到了另外的一个同伴，组成了一个乐队，并通过优秀的表现得到了专业人士的肯定。与此同时，爱情也在逐渐萌芽。音乐是这部电影最大的亮点之一，塑造了极其浪漫唯美的氛围。,
亲密关系,21000,16,528,13,230,剧情短片,暂无评分,评分人数不足,11,0,1,简介：久未谋面的舅舅给我打来一通拜年的视频电话。这不禁让我回想起了他的过去。回想起这个我童年的偶像。影像中，渴望回溯性地建构关于他的记忆现场。然而在拍摄过程中，在与他的聊天中，记忆的拼图，也只是能勾勒出一个人的局部特写。我干脆把镜头移交给他，然而即便是实存的画面，透过成像仪也不见得完整。最后从他手臂的纹身上，我仿佛看见了他的全部…,
小小朱历史课,52958000,35000,54000,29000,2761000,萌系搞笑历史,8.8,157,连载中,0,72,简介：小小朱历史课是个历史冷知识的科普动画，运用幽默风趣的剧情引导观众了解历史的冷知识。小小朱穿越去各个朝代产生的有趣故事来了解古代,
门开九重,19000,11,145,12,54,剧情短片,暂无评分,评分人数不足,37,0,0,简介：2015年，脱贫攻坚战的号角开始吹响，全国上下无一不为其努力奋斗。在西南地区的一个刚刚脱贫的小村落——高石坎村，曾经带领村民脱贫致富的老田一家却因为突如其来的车祸支离破碎，妻子和孩子去世，能干的老田也丧失了劳动能力。可倔强、敏感、不愿接受现实的老田拒绝邻居亲友的帮助，不屑于和好吃懒做的赖毛同流合污，更不同意驻村书记提出让自己“返贫”的方法，只把自己锁在空荡荡的屋子里消沉度日。,
Evelyn,95000,70,9297,759,2905,动画短片,暂无评分,评分人数不足,4,0,19,简介：A song about Evelyn and her story.,
台江味,311000,607,8716,1063,14000,美食人文,暂无评分,评分人数不足,已完结, 全6集,0,27,简介：在近代历史中，台江始终是福州的经济中心，所以台江才拥有福州几乎所有品种的小吃美食，甚至可以说，福州的小吃美食绝大部分都是从台江出发的。城市化建设发展，我们已经失去了很多记忆中的小吃美食，但相对其他城区，台江保留着最全的小吃体系。本次《台江味》系列纪录片，将镜头对准了台江的小吃店，讲述平民小吃和店主们的市井生活，展现美食背后的独特情感，希望能记录下弥足珍贵的“台江味”。,
百年巨匠·马识途,26000,20,878,98,1813,历史人文,暂无评分,评分人数不足,已完结, 全2集,0,0,简介：山河破碎，他义无反顾投身战火，从一个进步青年成长为勇敢忠诚的地下革命工作者；国泰民安，他追忆往昔笔耕不辍，从一个革命实践者变身为妙笔生花的文学家，将峥嵘年代的传奇经历化作一篇篇跃然纸上的文学作品。马识途波澜壮阔的人生跨越了中国20世纪的历史，历经中国百年的大动荡、大转折、大发展，其所见所闻、所思所感，见证了中国由弱变强的非凡历程。马识途于1938年入党，截至2021年中国共产党成立100周年，马老有着长达83年的党龄。2022年年初，纪录片《百年巨匠——马识途》即将上线各大卫视，展现马老精彩的革命人生和深厚的文学造诣。,
pop子和pipi美的日常 中配版,11109000,68000,2431000,57000,279000,漫画改搞笑,9.6,2819,连载中, 每周一 11:00更新,14,880,简介：《pop子和pipi美的日常》是大川ぶくぶ创作的搞笑四格漫画，2014年开始在竹书房旗下的网页漫画网站“MANGA LIFE WIN”上开始连载，并在社交网站上走红。黄头发比较矮的是POP子（ポプ子），下巴很长比较高的则是PIPI美（ピピ美）。在漫画中，两人经常会因为剧情需要而出现夸张的手脚和动作！电视动画则由曾制作《JOJO的奇妙冒险》前三部动画的神风动画负责。,
海绵宝宝,58129000,130000,1816000,146000,450000,少儿搞笑,9.8,12264,连载中,12,3476,简介：海绵宝宝是方块形的黄色海绵，住在比基尼海滩（裤头村、比奇堡）的一个菠萝里，他的宠物是一只会“猫~猫~”叫的海蜗牛小蜗，海绵宝宝喜欢捕捉水母，职业是蟹堡王（The Krusty Krab）里的头号厨师。派大星和姗迪都是他的朋友。海绵宝宝总是能给平静的世界制造麻烦，虽然闹出一些笑话，不过他总能摆脱困境，然后又制造出新的麻烦。,
海绵宝宝 中文配音,240000000,955000,1816000,452000,1860000,少儿搞笑,9.9,31119,连载中,36,7343,简介：海绵宝宝是方块形的黄色海绵，住在比基尼海滩（裤头村、比奇堡）的一个菠萝里，他的宠物是一只会“猫~猫~”叫的海蜗牛小蜗，海绵宝宝喜欢捕捉水母，职业是蟹堡王（The Krusty Krab）里的头号厨师。派大星和姗迪都是他的朋友。海绵宝宝总是能给平静的世界制造麻烦，虽然闹出一些笑话，不过他总能摆脱困境，然后又制造出新的麻烦。,
